storey_range,flat_type,V1
10 TO 12,1 ROOM,64698.5820895522
04 TO 06,1 ROOM,63430.9446254072
07 TO 09,1 ROOM,59144.8797953964
04 TO 06,3 ROOM,177466.138112631
01 TO 03,3 ROOM,178045.903228035
07 TO 09,3 ROOM,177957.551756225
10 TO 12,3 ROOM,179632.543510491
13 TO 15,3 ROOM,184234.387273447
04 TO 06,4 ROOM,275182.182348175
07 TO 09,4 ROOM,279784.441556794
10 TO 12,4 ROOM,281187.311606817
01 TO 03,4 ROOM,269160.216488001
07 TO 09,5 ROOM,376026.891936777
13 TO 15,5 ROOM,407246.072120307
10 TO 12,5 ROOM,381940.26591272
04 TO 06,5 ROOM,369929.459616881
19 TO 21,5 ROOM,445069.397651972
16 TO 18,5 ROOM,434019.071695677
07 TO 09,2 ROOM,115833.648915187
13 TO 15,2 ROOM,131187.933797909
13 TO 15,4 ROOM,320995.738319597
16 TO 18,4 ROOM,369074.335371648
01 TO 03,5 ROOM,360842.191399165
25 TO 27,5 ROOM,480861.00531511
07 TO 09,EXECUTIVE,474277.982355985
01 TO 03,EXECUTIVE,456267.486982642
22 TO 24,5 ROOM,453425.368009521
04 TO 06,EXECUTIVE,463409.091162211
10 TO 12,EXECUTIVE,473251.950011241
04 TO 06,2 ROOM,114454.610530547
16 TO 18,3 ROOM,202839.977074911
19 TO 21,3 ROOM,203445.781362007
10 TO 12,2 ROOM,123470.241706161
01 TO 03,2 ROOM,111189.683813119
22 TO 24,4 ROOM,455907.682321725
19 TO 21,4 ROOM,419695.762227603
16 TO 18,EXECUTIVE,508696.698827647
22 TO 24,3 ROOM,231205.2
01 TO 03,1 ROOM,55616.1921708185
13 TO 15,EXECUTIVE,490387.456108049
25 TO 27,4 ROOM,505869.301564723
16 TO 18,2 ROOM,129275.714285714
04 TO 06,MULTI GENERATION,454897.101449275
10 TO 12,MULTI GENERATION,456538.461538462
22 TO 24,EXECUTIVE,619267.305389222
19 TO 21,EXECUTIVE,574720.599315069
01 TO 03,MULTI GENERATION,453676.571428572
07 TO 09,MULTI GENERATION,451152.941176471
13 TO 15,MULTI GENERATION,458200
07 TO 09,MULTI-GENERATION,505385.469387755
10 TO 12,MULTI-GENERATION,511164.333333333
01 TO 03,MULTI-GENERATION,530009.677419355
04 TO 06,MULTI-GENERATION,527061.111111111
13 TO 15,MULTI-GENERATION,457500
25 TO 27,EXECUTIVE,540660.444444445
28 TO 30,4 ROOM,584630.822115385
28 TO 30,5 ROOM,665052.087613293
28 TO 30,3 ROOM,469369.565217391
25 TO 27,3 ROOM,458800.588235294
31 TO 33,4 ROOM,739457.121495327
28 TO 30,EXECUTIVE,610000
40 TO 42,4 ROOM,766108.622222222
37 TO 39,4 ROOM,761436.775510204
34 TO 36,4 ROOM,766029.28
34 TO 36,5 ROOM,919863.17948718
31 TO 33,5 ROOM,926228
37 TO 39,5 ROOM,909271.3
40 TO 42,5 ROOM,965987.076923077
34 TO 36,3 ROOM,543357.142857143
37 TO 39,3 ROOM,566923.076923077
06 TO 10,2 ROOM,265957.793103448
01 TO 05,2 ROOM,261755.111111111
06 TO 10,3 ROOM,349920.903409091
01 TO 05,3 ROOM,335113.230035757
11 TO 15,3 ROOM,359016.282958199
16 TO 20,3 ROOM,388455.769230769
01 TO 05,4 ROOM,430760.723845429
06 TO 10,4 ROOM,444528.969917355
11 TO 15,4 ROOM,463656.880566802
06 TO 10,5 ROOM,527978.124528302
01 TO 05,5 ROOM,513298.084532374
21 TO 25,4 ROOM,615578.060606061
11 TO 15,5 ROOM,540704.210526316
16 TO 20,5 ROOM,604415
21 TO 25,5 ROOM,678263.76
06 TO 10,EXECUTIVE,627937.4875
11 TO 15,EXECUTIVE,627518
01 TO 05,EXECUTIVE,605304.859813084
26 TO 30,4 ROOM,673328.666666667
01 TO 05,MULTI-GENERATION,780000
16 TO 20,4 ROOM,519764.567010309
11 TO 15,2 ROOM,282388.8
26 TO 30,3 ROOM,528166.666666667
26 TO 30,5 ROOM,819487.555555556
16 TO 20,EXECUTIVE,631675.52
21 TO 25,3 ROOM,412500
36 TO 40,4 ROOM,717841.142857143
16 TO 20,2 ROOM,283000
31 TO 35,4 ROOM,706500
06 TO 10,MULTI-GENERATION,739333.333333333
21 TO 25,EXECUTIVE,578000
40 TO 42,3 ROOM,536666.666666667
46 TO 48,4 ROOM,951166.666666667
43 TO 45,4 ROOM,934333.333333333
43 TO 45,5 ROOM,1088800
46 TO 48,5 ROOM,1065333.33333333
49 TO 51,4 ROOM,953753.6
19 TO 21,2 ROOM,280683.692307692
31 TO 33,3 ROOM,553454.545454545
22 TO 24,2 ROOM,297800
25 TO 27,2 ROOM,245500
49 TO 51,5 ROOM,1108000
